,GEOID,NAME,Total population,Under 5 years,5 to 9 years,10 to 14 years,15 to 19 years,20 to 24 years,25 to 34 years,35 to 44 years,45 to 54 years,55 to 59 years,60 to 64 years,65 to 74 years,75 to 84 years,85 years and over,White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Some other race,Two or more races,Hispanic or Latino (of any race)
1,17097,"Lake County, Illinois",701473,40703,46956,51161,54555,50422,77894,88131,100799,50476,44037,57332,26661,12346,531609,47385,2162,54157,285,45309,20566,152141
2,17089,"Kane County, Illinois",531376,34078,36611,41608,39360,33646,63846,71557,75020,35521,30179,42350,20313,7287,387883,29416,2590,21612,240,74326,15309,169364
3,17093,"Kendall County, Illinois",126054,8691,10944,10458,9493,7238,15774,20433,18018,6932,5320,7988,3542,1223,102605,9339,145,4045,0,6532,3388,23571
4,17043,"DuPage County, Illinois",929060,54850,58920,60312,61349,57946,117689,119999,129099,68485,61023,82511,39108,17769,713707,44755,2016,110163,422,31669,26328,132597
5,17031,"Cook County, Illinois",5198275,322193,310091,322118,313876,342421,849085,701726,658679,330992,305924,421947,221513,97710,2946314,1217416,14911,379444,1982,500069,138139,1314796
6,17111,"McHenry County, Illinois",307714,16918,20236,21804,21972,18596,34215,39059,47766,24375,19649,26745,11319,5060,284009,4481,295,8601,56,4315,5957,40266
7,17197,"Will County, Illinois",689315,40632,46083,54004,52241,44690,80690,94513,104183,45913,39452,53074,24377,9463,506424,77941,2071,37809,229,44121,20720,119765
8,1714000,"Chicago city, Illinois",2709534,171323,152538,153882,155673,201098,538183,379716,323149,155621,141382,195049,100949,40971,1354590,802460,8495,179530,816,286553,77090,780167
